track_id;popularity;duration_ms;explicit;danceability;energy;tempo
37jsciEAFxwyjXx0kV6aO6;34;192392;FALSO;415;619;77009
22KbVMZekQbkrHGrubQTpQ;55;207228;FALSO;565;895;149919
4RiKD76gS8huCzwWqw0EGC;33;122874;FALSO;586;702;177598
3XFhSbm8EdZD6Cjrm1dNJQ;33;223015;FALSO;564;604;113091
3nImoHhXBOqYcdTN8gt9eE;0;155000;FALSO;543;359;109735
4AYITlwiumljGdv0NIGR4T;52;224170;FALSO;638;287;128025
3YvutLE6lwEyW4WMF5FIi6;21;239004;FALSO;515;46;140067
3geIJghtdmVc7GeJio1xlj;50;181311;FALSO;622;221;131827
1yycinn2WICj4UKGQ9xPjD;55;144653;FALSO;44;353;181988
5Z8O4RFAmjA13jrOYIgyXA;46;235135;FALSO;457;64;147824
1ABd3bWsG4FCKePjXeVfJG;56;248360;FALSO;649;821;121938
4I18rXWixQBWc8JhTqx6Xn;40;198344;FALSO;495;329;72992
3IORLAm07yxo4T7B8cRET3;21;239697;FALSO;71;615;90263
4sAX65hbNtEC1lceCdGuMt;55;186334;FALSO;69;204;139587
6Xrq1dAFgZcSi5HuuHe27i;41;273260;FALSO;66;743;130025
2TRXV6DoQLjdRrBR6ED6NP;44;196920;FALSO;733;657;109954
6xXvAzowcCQmoKdDr1oIFJ;57;145056;FALSO;589;296;165799
5L4G3nwKkd4wykW4BV9sVe;33;196026;FALSO;686;377;92042
0QzY6rP7C8IWMnpEyuQmC6;56;193027;FALSO;659;338;145877
3XdStlaHnq3JrmQDCRqEET;32;233280;FALSO;732;83;111664
4h3rI4uxGsbA4LsLt1nB2t;35;213091;FALSO;522;202;147992
2KhS0LVOw9ralhfbcIi7vL;55;253546;FALSO;565;698;120013
6fPblqm2OhtEKvaUEQzLzJ;33;317400;FALSO;474;408;143881
0wFSrH6x1iQOdUljUueAcd;46;167616;FALSO;543;244;126341
1wSZdWFZphxDh6iJhWlIUi;38;211672;FALSO;672;644;148135
5ZpSUdy5wL5Hvwsqz6JCAt;65;274245;FALSO;515;769;153046
