track_id;key;loudness;mode;speechiness;acoousticness;liveness;valence;time_signature
2Dzhwe90lhHXVU6lk7Nx0H;11;-10965;1;382;777;979;357;4
12niARgkwxGsklcEwh6GlG;4;-13967;1;319;764;112;156;4
5wQci5VCUjdbKnRD61XYwu;6;-11343;1;313;554;116;262;4
0HQnJee8ShSDu2AYwibxst;4;-9079;1;361;861;94;276;4
4VoJCUgNmnqG2qF0peDBkw;0;-10057;1;291;96;979;4;3
1bhpBRCLsVg3p7BWARbaDS;7;-686;1;541;906;134;526;3
6NSlOEEtWlqvEFrjQsry77;1;-13421;1;285;617;129;4;4
1HqVCK9h4LiJ61aRrrKTAt;4;-9764;1;339;1;164;857;4
0wP19iM8ULJyV0r0LFDsDv;7;-13492;1;761;568;484;862;4
27Fq4XyOkogdGLcfsVdjFb;6;-7894;1;256;184;113;342;3
45jGOHwYKgsRYbAJ8DR61d;10;-6359;1;329;188;18;336;4
4iObEYRE4FLm0D90gmZFef;5;-1331;1;299;847;114;366;4
3akr0ZrJxLMBLIFeNNKffW;11;-7707;0;317;658;111;396;4
7BRwh1bemr9rFMDeTbcy5S;7;-12682;1;309;801;126;179;4
3rzRo91l4htQvMXhsiECAX;2;-4824;1;998;916;743;394;4
0v1vufjir4OE4iRckLMoLd;1;-3626;0;138;325;287;333;4
4vAnqYqm1DOo5IDVcxORX3;1;-16157;1;361;878;112;224;4
2X5AFygz5SDYlXagyPw8kX;5;-10606;1;32;423;435;979;4
13GvSZgg9LOs3M9uGbWsPE;7;-1283;1;282;861;902;137;4
4cR4nao0hqqBtklQmGVqbe;1;-6638;1;272;705;168;628;4
4x7AdVDV9IFWp8pg4LMz90;11;-12755;1;364;828;174;375;4
5eNYumDY5PCXtKKJ0SWg2r;1;-12729;1;288;76;104;203;4
7aohwSiTDju51QmC54AUba;0;-7632;1;553;927;883;53;4
7g3ryXLtXExZ0OFCj17Ae1;8;-7589;1;269;642;942;275;4
5auMzVHFr5Zfw6IbKarZ56;2;-7715;1;278;417;881;287;3
63bmIgH9sS6sX5Sc7MetGq;9;-5719;1;305;88;362;183;4
14BMBNRzv24eG6OKoIgPfP;7;-10496;1;407;654;128;635;5
5pEmeoMUW38w1oU3kPelvR;3;-7385;1;31;298;125;212;4
2h3VsZVKQeT0yLNQtCIRjn;0;-14331;1;531;791;185;3;4
1dcNEEtODRVZEevQ20Cgmy;1;-6772;1;248;112;19;208;4
6huS9u0BDfeQHq0lObNLPl;5;-10597;1;692;647;15;553;4
14NiShC5b46yQxBN1mu9VJ;1;-17963;1;427;882;139;339;4
3DyhwZyBFedvnt68fMi6vf;0;-9076;1;346;614;875;187;4
5e9DrLUUZraUE7mmniufjn;1;-8971;1;328;318;133;374;4
2z3HKlpENvfz1Am2MNF2pL;10;-14915;0;318;611;113;16;4
33JX2be3eKVhl5xk8YQhVc;2;-1393;1;311;455;114;42;4
29Ns3avs48iQhNQgrHMEkm;10;-11865;1;392;877;104;262;4
2XDxQ3VzovLzh60zgOaNEi;7;-8811;1;289;887;948;209;4
0J4sK2VO75cRSVoj0FokQn;2;-14996;1;303;788;148;133;4
7bpR5j22mNID1pXwgRcZP1;0;-7982;1;315;612;111;261;4
1U1GtaJeYwGsPgqV9Me5bb;7;-13807;1;316;149;147;577;3
34p2uL1CvmaHn3uLfOKt8d;7;-14498;1;492;979;231;171;3
2EKxmYmUdAVXlaHCnnW13o;8;-10238;0;317;73;103;292;4
1jkBuvWI9IGEz9thXiKOlP;3;-1016;1;377;775;962;229;4
7K36drJq6lInkW6Kkojucp;9;-15744;1;317;844;109;178;4
4PuUa8e5s7P3Zv1IdCGIsa;10;-11216;1;258;86;142;13;4
72SPsHheqN6J3sI520jT9E;7;-13397;1;291;793;109;29;4
52J3WARiRHMtXbFXUWrVgu;1;-5966;1;349;741;932;371;4
03VNgdCL9t8aPyvwZecglI;2;-6984;1;364;366;811;527;5
3M6NL7PxIDZ3ArfPrBUTUP;9;-372;1;488;169;889;92;4
7jJH8F3PHlNvxfqEAAfFDl;6;-7889;0;445;105;133;947;4
6JNEDSev5Tp5VQR04SEBfV;9;-5626;1;66;947;895;8;4
1gRa1tyGV1GY60QgU5DkQH;10;-13062;1;249;796;15;24;3
5DUAKXpyv3nL50PnAQbPS0;11;-5341;1;601;236;13;936;4
6OCsvPU6P84wJ0erggCRv4;1;-9421;1;505;324;867;621;1
6hy5eqMQ36KAChR1ZZ05zc;5;-12699;1;363;923;102;361;3
4Gcx0DkgBVticyPDpezwg5;4;-8865;1;373;873;111;182;4
0fUB9bwvKLRpOB18YZHz5N;2;-10086;1;329;717;106;363;3
0I0l2Oo5zjpCEphpDJL0Pm;9;-7602;1;24;343;252;351;4
4v0RBzYNzTknP6d0zN2VQb;9;-13237;0;539;854;105;479;4
1FQH1FxPwwIj9aKyPBDf9b;8;-14409;1;371;88;266;328;4
4YgEwanzISFU4xa27saTux;7;-3128;1;634;591;988;468;4
7pKMoXeiCv40wbrjII06VO;9;-8609;1;33;814;142;315;4
5MYPzdIWgx3pMLRGlq2fVq;5;-5695;0;294;149;345;493;4
2Qw1KFrJ1q6qHXxWGh51kC;5;-11673;1;315;768;106;228;3
66V40iz2mphPbYvuJVj13i;2;-13166;1;413;933;126;373;4
4Bo6FwC7Oe9zywSZc6q7hO;7;-14769;1;305;317;111;797;4
6Xbi3gOwMal0Ds3ETvBBwe;6;-13287;1;648;863;993;149;5
6QXolVfFVjUHPp5TVzsjIF;9;-12107;0;361;737;11;361;3
71ehTADpxs85ULrZgSEKCy;0;-7778;1;338;947;106;167;4
4zYkSXrfgJyrNkNv3mTiIZ;0;-13995;0;282;893;193;317;4
1nFJAKHt0jgzVogbNJT3Zz;5;-4924;1;279;686;85;352;4
1RZkqIEM5aV000fKgz9J46;1;-13852;1;381;913;334;458;4
0n3E6m57nDZJDyUHllaMDp;6;-12959;1;38;927;133;352;4
2gBYjMXW65daBB1elr68JK;0;-14769;1;33;907;106;486;4
1FF6TogE9ELY71XnLPoEv6;4;-23665;1;57;745;146;597;4
6G8xunNOicxhPPq9sG2raG;0;-8149;0;271;862;121;258;4
6LsHKNorX6fPBNcGxU1jQZ;10;-129;0;404;875;104;35;4
1uxm47Qn1JhUWZHQfcY6w1;0;-13668;1;35;893;217;266;4
2nBrIzKacrNdIxs90FlsT1;7;-11041;1;363;92;107;35;3
5mdjfBsyzl78NQI4sI4IzR;9;-13225;1;281;897;109;134;4
7mQmu0JSoEyYU763IJXhIA;5;-8937;1;306;421;103;396;4
08feveJTNL1OMLSrdoHQ6Q;10;-8168;1;396;729;185;411;4
4ngv7whSPSAwD8ZP3zMHsd;2;-7335;1;501;844;325;344;4
24UxG3p1Ghtc5ejJtGBoeL;0;-15035;1;367;939;108;147;5
4yRlTvPVfEyhXfp6GZurq9;8;-8872;1;259;19;119;172;4
5xQTEPjGsLuvwnnvyK3fAA;4;-8995;1;345;421;804;987;3
3Mq1SOKwAPYgE0ZtPzvWZZ;3;-791;1;311;861;12;31;4
38ssTLOvoZyL4CLa4ImDG9;0;-2156;1;405;953;115;155;3
0njuNwIyB3DoBHC0SFUkOr;4;-24831;1;583;916;108;14;4
5sdliaZjk3rVGuT13UVhxn;2;-13033;1;346;832;105;186;4
2Dz5WpEWA0vhnMmEPYiZ2y;6;-9697;1;141;616;118;305;1
5w8Cu20Yt1ZNQuVdcafTYC;6;-12619;1;358;541;982;541;4
1FHCU1rDAeaPsBW9byjJ0Q;3;-936;1;272;727;128;438;4
0x26yM2rrvtoHGRXXzppx3;2;-9003;1;309;762;11;219;4
0Kt5AHOpQAkEsHAuPeB0le;5;-9489;0;878;775;362;202;4
07m8PuXxxv5J4qPEDq6ZkK;9;-504;1;113;268;122;422;4
1YjMWOorkBaP4MdKkKtp4y;11;-109;1;318;872;798;543;5
0KF5nzdiqZlxVK68MPITst;0;-9636;1;554;694;595;321;4
2fSIF8CJhoc9CJhF9vJDXp;7;-15196;1;329;863;953;288;4
6J0bdIZElZMymahgVWRE9B;3;-6869;1;247;46;101;75;4
5sVyefkGgQeYCgnqr4KslQ;1;-10024;1;299;887;109;2;4
1MGIxsVtqK2npdPmI8Dj0D;5;-8991;1;568;784;341;967;4
4M4suTUnAYZocl09XEKBZN;10;-8358;0;323;126;506;903;4
2C9ePPz58he8jmYEod9pvT;9;-9193;1;356;805;968;424;4
4j0xGuo8Z47wfBiVunT6VR;10;-17036;1;363;365;118;177;4
0JzOJIS7ktLq5Ux6LtYJuW;3;-9843;1;313;947;123;304;4
298xJ2nBaWWS0Je5rtlSxT;11;-7396;1;44;841;11;391;4
33SH8ZC36EzoRstHbaFE72;8;-862;1;281;411;233;466;4
18PrtmAcNMgZNy1edWuXGb;6;-1428;1;294;876;112;152;4
4CU3t2c3TIpmzX44P1VCFi;6;-14151;0;467;855;104;354;4
0dnRlO7IDzbN9ixVld7hz6;0;-8608;0;258;667;113;293;4
1XW1lKfocLOAUdp8rUQoNC;7;-7257;1;44;825;104;234;4
1TZBg0IBHvqfSAlHvVd8eH;10;-15148;1;404;908;161;461;4
5j5OayPyUCnJSK0RynvqgK;3;-9251;1;414;87;11;348;4
0Pi3Ua6fJV1Yx5MGXhfybT;5;-14452;1;359;935;108;766;4
0c99BUd87HQfzgUUQqRyds;5;-10484;1;396;927;115;329;4
7JRJOLKHz88pR0YS4pVCao;1;-15236;1;421;798;108;19;4
0xlyMQ56pZAoGuLCs7GH90;8;-15239;1;807;809;117;498;4
5dH4xnErpUOIDrGySWGkfJ;0;-831;1;323;63;976;191;4
2Sg5gtKvSiRf7TBjI0ObF2;11;-10001;1;403;817;118;599;4
2AHZHeLTPuGILKyr4l8uTU;6;-7514;1;101;199;979;416;4
3JKLrIrHpbHtDU1oeYtbYD;10;-8987;1;321;809;996;877;4
